id,orientation,clue,length,startX,startY,
1across,horizontal,Locale,4,0,0,
1down,vertical,Long sandwich,3,0,0,
2,vertical,Casual top,3,0,2,
3,horizontal,Soup containers,4,0,5,
4,vertical,___ Baba,3,0,6,
5,vertical,Observe,3,0,8,
6,horizontal,Nectar gatherers,4,2,0,
7,vertical,Concluded,5,2,1,
8,vertical,Cheeky,5,2,3,
9across,horizontal,Fries or slaw,4,2,5,
9down,vertical,Don’t sit,5,2,5,
10,vertical,Tee off,5,2,7,
11,horizontal,Household pest,3,3,3,
12,horizontal,Belonging to Ida,4,4,0,
13,horizontal,___ of Evil,4,4,5,
14,horizontal,Morning riser,3,5,3,
15across,horizontal,Lazily,4,6,0,
15down,vertical,“If ___ said it once…”,3,6,0,
16,vertical,___ Angeles,3,6,2,
17,horizontal,Buck or doe,4,6,5,
18,vertical,New Year’s ___,3,6,6,
19,vertical,Scarlet or Maroon,3,6,8,
20,horizontal,Sunrise direction,4,8,0,
21,horizontal,You do this with a book,4,8,5,
